Hora,Temperatura
00,19.68040863027133
01,19.1033788901696
02,18.60838809814735
03,18.18991354466859
04,17.769490287232276
05,17.400336173612036
06,17.08057863650015
07,16.779506495245748
08,16.532882792011296
09,16.422951922753423
10,17.16032384722718
11,18.966515251789904
12,21.06089888930345
13,22.915942600997997
14,24.405058616155113
15,25.551967864740792
16,26.306136567331393
17,26.685610640870618
18,26.572526755045846
19,25.989040147669588
20,24.800900225056264
21,22.92689564151714
22,21.35117830004168
23,20.365337802655556
